,ret_1d,ret_20d,ret_60d,vol_20d,vol_60d,downside_vol_20d,downside_vol_60d,var_95_60d,cvar_95_60d,drawdown,skew_60d
ret_1d,1.0,0.22072858121249636,0.11988605114327804,-0.002963118257265475,0.000959137552200124,-0.07456701862387366,-0.02571957249184929,0.026793993586671883,0.01947390975232025,0.04152164617051306,0.03955874563832089
ret_20d,0.22072858121249636,1.0,0.5543633250756123,-0.3686461703747833,-0.14833156795673055,-0.6212692731130148,-0.24264496164594793,0.20150540907236544,0.22916161294079523,0.17884466365248905,0.06657232389661898
ret_60d,0.11988605114327804,0.5543633250756123,1.0,-0.5629009887412975,-0.48367851696308695,-0.6380877117475138,-0.6289742306577929,0.5702715660379925,0.5678566865835174,0.3045986355971296,0.076365464947073
vol_20d,-0.002963118257265475,-0.3686461703747833,-0.5629009887412975,1.0,0.8298061473971937,0.9416088411567514,0.8363112818023413,-0.8243708709499831,-0.7968592468201813,-0.3513078481701505,0.03865344140594183
vol_60d,0.000959137552200124,-0.14833156795673055,-0.48367851696308695,0.8298061473971937,1.0,0.724117350046075,0.9712553017962163,-0.942324817716021,-0.9302540331097126,-0.40190895207016286,0.04788289629096737
downside_vol_20d,-0.07456701862387366,-0.6212692731130148,-0.6380877117475138,0.9416088411567514,0.724117350046075,1.0,0.7738621106101605,-0.7428075567464493,-0.7458406759310316,-0.3454942854721152,-0.07581855757707676
downside_vol_60d,-0.02571957249184929,-0.24264496164594793,-0.6289742306577929,0.8363112818023413,0.9712553017962163,0.7738621106101605,1.0,-0.9399528597864932,-0.9716462097130762,-0.40930941771273444,-0.11735745527376137
var_95_60d,0.026793993586671883,0.20150540907236544,0.5702715660379925,-0.8243708709499831,-0.942324817716021,-0.7428075567464493,-0.9399528597864932,1.0,0.8765859485172072,0.40494250003160254,-0.032258733502389995
cvar_95_60d,0.01947390975232025,0.22916161294079523,0.5678566865835174,-0.7968592468201813,-0.9302540331097126,-0.7458406759310316,-0.9716462097130762,0.8765859485172072,1.0,0.375060918424597,0.2339691531012555
drawdown,0.04152164617051306,0.17884466365248905,0.3045986355971296,-0.3513078481701505,-0.40190895207016286,-0.3454942854721152,-0.40930941771273444,0.40494250003160254,0.375060918424597,1.0,-0.06525208521362592
skew_60d,0.03955874563832089,0.06657232389661898,0.076365464947073,0.03865344140594183,0.04788289629096737,-0.07581855757707676,-0.11735745527376137,-0.032258733502389995,0.2339691531012555,-0.06525208521362592,1.0
